,lb_stat,lb_pvalue
4,219.31972677665837,2.6261321343700836e-46
8,261.0634285583589,7.759123236039722e-52
16,264.9196953390351,4.456232801638827e-47
24,274.36694162233044,2.328863150670986e-44
