modelo,paradigma,wmape_val,wmape_test,mae_val,gap_val_test,recall_test,interpretabilidad,sensibilidad_huecos,mantenimiento_operativo
rf_iter_2,ML supervisado no lineal,0.1789,0.1835,27.9,0.0047,0.0,Media (SHAP),Alta,Medio
hgb_base,ML supervisado no lineal,0.1808,0.1797,28.2,-0.0011,0.0,Media (SHAP),Alta,Medio
ols_statsmodels,Estadístico clásico,0.1837,0.1981,28.7,0.0144,0.0,Alta (coef + p-values),Media,Bajo
ridge_a10,ML supervisado lineal,0.1839,0.1981,28.7,0.0142,0.0,Alta (coeficientes),Media,Bajo
baseline_persist,Heurístico,0.1935,0.1932,30.2,-0.0003,0.25,Total,Baja,Nulo
prophet_regressors,Series de tiempo (Prophet),0.2224,0.2161,34.7,-0.0062,0.0,Alta (componentes separados),Media (maneja irregularidad),Medio
arima_2_0_1,Series de tiempo (ARIMA),0.463,0.4183,72.3,-0.0447,0.0,Alta (AR + MA explícitos),Alta (asume continuidad),Bajo
